Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division I,MAC,Kent State University
Sports,Basketball,NCAA,Division I,MAC,Miami University (Miami (OH))
Sports,Basketball,NCAA,Division I,MAC,Northern Illinois University (NIU)
Sports,Basketball,NCAA,Division I,MAC,Ohio University
Sports,Basketball,NCAA,Division I,MAC,University of Toledo
Sports,Basketball,NCAA,Division I,MAC,Western Michigan University
Sports,Basketball,NCAA,Division I,MEAC,Coppin State University
Sports,Basketball,NCAA,Division I,MEAC,Delaware State University
Sports,Basketball,NCAA,Division I,MEAC,Howard University
Sports,Basketball,NCAA,Division I,MEAC,University of Maryland Eastern Shore (UMES)
Sports,Basketball,NCAA,Division I,MEAC,Morgan State University
Sports,Basketball,NCAA,Division I,MEAC,Norfolk State University
Sports,Basketball,NCAA,Division I,MEAC,North Carolina Central University (NCCU)
Sports,Basketball,NCAA,Division I,MEAC,South Carolina State University (SC State)
Sports,Basketball,NCAA,Division I,Missouri Valley,Belmont University
Sports,Basketball,NCAA,Division I,Missouri Valley,Bradley University
Sports,Basketball,NCAA,Division I,Missouri Valley,Drake University
Sports,Basketball,NCAA,Division I,Missouri Valley,University of Evansville
Sports,Basketball,NCAA,Division I,Missouri Valley,Illinois State University
Sports,Basketball,NCAA,Division I,Missouri Valley,Indiana State University
Sports,Basketball,NCAA,Division I,Missouri Valley,Missouri State University
Sports,Basketball,NCAA,Division I,Missouri Valley,Murray State University
Sports,Basketball,NCAA,Division I,Missouri Valley,University of Northern Iowa (UNI)
Sports,Basketball,NCAA,Division I,Missouri Valley,"Southern Illinois University Carbondale (Southern Illinois, SIU)"
Sports,Basketball,NCAA,Division I,Missouri Valley,University of Illinois Chicago (UIC)
Sports,Basketball,NCAA,Division I,Missouri Valley,Valparaiso University (Valpo)
Sports,Basketball,NCAA,Division I,Mountain West,United States Air Force Academy (Air Force)
Sports,Basketball,NCAA,Division I,Mountain West,Boise State University
Sports,Basketball,NCAA,Division I,Mountain West,Colorado State University
Sports,Basketball,NCAA,Division I,Mountain West,"California State University, Fresno (Fresno State)"
Sports,Basketball,NCAA,Division I,Mountain West,"University of Nevada, Reno (Nevada, UNR)"
Sports,Basketball,NCAA,Division I,Mountain West,University of New Mexico (UNM)
Sports,Basketball,NCAA,Division I,Mountain West,San Diego State University (SDSU)
Sports,Basketball,NCAA,Division I,Mountain West,San Jose State University
Sports,Basketball,NCAA,Division I,Mountain West,"University of Nevada, Las Vegas (UNLV)"
Sports,Basketball,NCAA,Division I,Mountain West,Utah State University
Sports,Basketball,NCAA,Division I,Mountain West,University of Wyoming
Sports,Basketball,NCAA,Division I,Northeast,Central Connecticut State University (Central Connecticut)
Sports,Basketball,NCAA,Division I,Northeast,Chicago State University
Sports,Basketball,NCAA,Division I,Northeast,Fairleigh Dickinson University
Sports,Basketball,NCAA,Division I,Northeast,Le Moyne College[e]
Sports,Basketball,NCAA,Division I,Northeast,Long Island University (LIU)
Sports,Basketball,NCAA,Division I,Northeast,Mercyhurst University[b]
Sports,Basketball,NCAA,Division I,Northeast,"Saint Francis University (Saint Francis [PA], SFU)"
Sports,Basketball,NCAA,Division I,Northeast,Stonehill College[a]
Sports,Basketball,NCAA,Division I,Northeast,Wagner College
Sports,Basketball,NCAA,Division I,Ohio Valley,Eastern Illinois University
Sports,Basketball,NCAA,Division I,Ohio Valley,Lindenwood University[a]
Sports,Basketball,NCAA,Division I,Ohio Valley,University of Arkansas at Little Rock (Little Rock)
