Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Augsburg University
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Bethel University
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Carleton College
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Concordia College
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Gustavus Adolphus College
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Hamline University
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Macalester College
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,College of Saint Benedict[A 19][A 1]
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,St. Catherine University[A 1]
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Saint John's University[A 19][A 11]
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,Saint Mary's University of Minnesota
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,St. Olaf College
Sports,Basketball,NCAA,Division III,Minnesota Intercollegiate Athletic Conference,The College of St. Scholastica
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Amherst College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Bates College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Bowdoin College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Colby College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Connecticut College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Hamilton College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Middlebury College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Trinity College
Sports,Basketball,NCAA,Division III,New England Small College Athletic Conference,Tufts University
